Name,Acronym,Country_Area,Country_Code,Latitude,Longitude
Xnaheb,XNH,"Belize, Toledo",BZ-TOL,16.2795,-88.9035
Xnucbec,XNC,"Mexiko, Yucatán",MX-YUC,20.295903,-89.681029
Xpuhil II,XPH,"Mexiko, Campeche",MX-CAM,18.50817,-89.405
Xpulyaxche,XPL,"Mexiko, Campeche",MX-CAM,19.529863,-89.80525
Xtablakal,XTB,"Mexiko, Yucatán",MX-YUC,19.975333,-89.534833
Xtelhu,XTH,"Mexiko, Yucatán",MX-YUC,20.47592,-88.77589
Xuelen,XUE,"Mexiko, Campeche",MX-CAM,20.237426,-90.139515
Xul,XLY,"Mexiko, Yucatán",MX-YUC,20.09773,-89.463532
Xulha,XLA,"Mexiko, Quintana Roo",MX-ROO,18.573087,-88.459773
Xultun,XUL,"Guatemala, Petén",GT-PE,17.53075,-89.313239
Xunantunich,XUN,"Belize, Cayo",BZ-CY,17.08944,-89.14167
Xupa,XUP,"Mexiko, Chiapas",MX-CHP,17.442083,-91.946583
Xutilha,XTL,"Guatemala, Petén",GT-PE,16.190937,-89.531279
Yakalmai,YAK,"Mexiko, Campeche",MX-CAM,20.19178,-90.07153
Yakalxiu,YKL,"Mexiko, Yucatán",MX-YUC,20.182217,-89.500367
Yalcabakal,YLC,"Mexiko, Campeche",MX-CAM,19.49'35.9,-90.31225
Yaleltsemen,YLS,"Mexiko, Chiapas",MX-CHP,16.59'07.2,-93.01079
Yaltutu,YLT,"Guatemala, Petén",GT-PE,16.85436,-89.37647
Yaxche Xlabpak,YXX,"Mexiko, Campeche",MX-CAM,20.12437,-89.71365
Yaxchilan,YAX,"Mexiko, Chiapas",MX-CHP,16.899712,-90.964698
Yaxcopoil,YXP,"Mexiko, Yucatán",MX-YUC,20.756915,-89.703474
Yaxha,YXH,"Guatemala, Petén",GT-PE,17.07588,-89.40248
Yaxhom,YXM,"Mexiko, Yucatán",MX-YUC,20.241896,-89.48589
Yaxuna,YXN,"Mexiko, Yucatán",MX-YUC,20.541596,-88.662541
Yohom,YOH,"Mexiko, Campeche",MX-CAM,20.17629,-90.07405
YulaUla,YUL,"Mexiko, Yucatán",MX-YUC,20.615642,-88.570021
Yumkax,YUM,"Mexiko, Yucatán",MX-YUC,,
Zacpeten,ZPT,"Guatemala, Petén",GT-PE,16.98846,-89.66114
Zaculeu,ZAC,"Guatemala, Huehuetenango",GT-HU,15.33379,-91.49275
Zapote Bobal,ZPB,"Guatemala, Petén",GT-PE,17.009164,-90.309259
